person_id,name,age,phone,address,alias
R04,Unnati Sagar,47,9675770529,"69, Rai Nagar, Chennai 466889",
R05,Vinaya Kanda,25,9506448196,"06, Ravel Path, Bhind 980699",
R06,Fiyaz Sangha,23,9692749116,"046, Kakar Path, Khammam-646417",
R07,Charles Palla,36,9990566476,"00/330, Dua, Cuttack-193745",
R08,Ishwar Gade,58,9764130526,"04/96, Issac Marg, Guntakal 149190",
R09,Priya Prabhakar,41,9719927151,"H.No. 671, Pathak Marg, Jamnagar 284987",
R10,Rajata Loyal,30,9856528252,"H.No. 473, Raghavan Chowk, Bhopal 527354",
R11,Ati Majumdar,22,9149203558,"H.No. 367, Khosla Circle, Pallavaram 014363",
R12,Jyoti Solanki,60,9344703907,"85/574, Krishnamurthy Road, Jamshedpur 518233",
R13,Aradhana Vohra,67,9410727955,"435, Mittal Street, Deoghar 400842",
R14,Harshil Arora,23,9349957310,"75, Behl Street, Morena 167190",
R15,Manthan Modi,24,9508157429,"H.No. 869, Kara, Hospet 496499",
R16,Hardik Johal,35,9586845604,"12/328, Dugar Zila, Alappuzha-974034",
R17,Sudiksha Bobal,58,9995619255,"93/618, Dixit Ganj, Ajmer-024994",
R18,Jeet Sidhu,41,9274648506,"H.No. 88, Sarma Chowk, Khora  659401",
R19,Ansh Luthra,41,9481469012,"87, Golla Road, Pallavaram 756551",
R20,Forum Sabharwal,31,9819595113,"68/071, Krishnan Path, Bhiwandi-808760",
R21,Zarna Pathak,35,9853573823,"H.No. 348, Mani Street, Shivpuri-093248",
R22,Nikita Chander,61,9795822698,"12, Manne Chowk, Vijayanagaram-737826",
R23,Yashoda Deshpande,22,9754049436,"58, Agate Road, Bihar Sharif 278755",
R24,Tamanna Nagy,58,9283758720,"63/60, Solanki Path, Kharagpur-702895",
R25,Ria Chaudhry,52,9882893941,"26/217, Nigam Road, Jodhpur-865780",
R26,Wahab Mani,33,9275452091,"11, Ganesan Chowk, Bhopal-504556",
R27,Yash Wali,47,9507437181,"219, Khosla Marg, Ballia-374740",
R28,Bhavna Dugar,35,9787194506,"H.No. 94, Krishna Marg, Barasat 671369",
R29,Chakrika Merchant,62,9698020238,"H.No. 09, Taneja Nagar, Berhampur 339421",
R30,Dayamai Sastry,32,9835098955,"21/456, Iyer Street, Panvel 884247",
R31,Hamsini Contractor,38,9924970419,"368, Chana Path, Kanpur-817549",
R32,Kamya Chokshi,67,9160062915,"H.No. 985, Kant, Madhyamgram-612004",
R33,Jack Chatterjee,32,9982403818,"75, Saini Circle, Vijayanagaram-796405",
R34,Sachi Saxena,20,9964411347,"H.No. 585, Rao Nagar, Jhansi-713900",
R35,Yagnesh Dass,38,9530747414,"39/33, Divan Path, Bally-284210",
R36,Alexander Parmar,35,9171069472,"H.No. 240, Sama Street, Rajkot-758917",
M01,Bruno Bevilacqua,49,9996571779,"104th Cross, Yeshwantpur, Bengaluru",
M02,Mimmo Bonfiglio,32,9531616801,"60th Cross, Yeshwantpur, Bengaluru",
M03,Emanuele Trapani,44,9141599354,"93th Cross, Peenya, Bengaluru",
M04,Fabrizio Pinello,47,9830165554,"4th Cross, Electronic City, Bengaluru",'u Curtu
M05,Vito Guarino,45,9462580464,"12th Cross, Peenya, Bengaluru",
M06,Rocco Ferrantelli,54,9629286283,"89th Cross, Koramangala, Bengaluru",Faccia Tosta
M07,Matteo Munafo',34,9144553134,"99th Cross, Electronic City, Bengaluru",
M08,Ignazio Cottone,58,9332217978,"65th Cross, Yeshwantpur, Bengaluru",'u Nivuru
F01,Turi Nastasi,37,9180288006,"30th Cross, Whitefield, Bengaluru",
F02,Ciro Scibetta,36,9644256542,"85th Cross, KR Market, Bengaluru",
F03,Gaspare Interlandi,68,9594118815,"98th Cross, Hebbal, Bengaluru",
F04,Filippo Sorbello,54,9608866918,"88th Cross, Yeshwantpur, Bengaluru",
F05,Alfio Vitrano,40,9457596335,"80th Cross, Malleshwaram, Bengaluru",
F06,Domenico Puglisi,62,9453859069,"15th Cross, Peenya, Bengaluru",
F07,Enzo Gullotta,49,9947672742,"49th Cross, Jayanagar, Bengaluru",
F08,Renato Faranda,37,9644215805,"97th Cross, Peenya, Bengaluru",
F09,Rosario Calandra,53,9484308700,"89th Cross, Jayanagar, Bengaluru",
F10,Carmelo Lo Duca,32,9588946356,"95th Cross, Jayanagar, Bengaluru",
F11,Leoluca Sciascia,50,9596293036,"108th Cross, Malleshwaram, Bengaluru",
F12,Pino Barresi,49,9781704886,"116th Cross, Basavanagudi, Bengaluru",
F13,Nino Randazzo,38,9688069765,"49th Cross, Jayanagar, Bengaluru",
F14,Sandro Cascino,40,9467214440,"23th Cross, Jayanagar, Bengaluru",
F15,Salvo Marraffa,36,9272090651,"101th Cross, KR Market, Bengaluru",
F16,Calogero Cannavo',51,9254865092,"71th Cross, Koramangala, Bengaluru",
